pick_blue_1,pick_blue_2,pick_blue_3,pick_blue_4,pick_blue_5,pick_red_1,pick_red_2,pick_red_3,pick_red_4,pick_red_5,win_team
42,1,107,20,75,70,39,116,65,38,0
59,39,61,17,75,8,63,76,26,29,0
32,79,42,65,61,39,74,116,20,45,1
45,91,107,26,68,8,39,92,73,75,0
102,3,107,65,45,84,53,92,82,29,1
70,69,107,65,54,42,39,92,20,33,1
42,79,61,84,38,102,39,116,17,45,0
8,52,92,17,63,42,91,116,26,68,1
45,79,107,73,33,39,52,111,26,75,0
19,92,81,15,50,70,75,1,76,116,1
115,1,116,82,25,45,79,36,65,63,0
91,39,116,17,63,80,52,78,50,54,0
19,39,92,110,33,45,0,36,27,42,0
31,39,116,17,25,115,69,61,26,63,1
70,74,116,26,75,115,1,92,65,63,0
39,79,116,26,75,25,1,111,17,61,0
45,52,107,65,57,39,79,92,26,97,0
102,35,78,17,38,45,91,59,20,68,0
115,1,107,65,45,19,64,92,17,63,0
115,1,36,82,68,70,69,92,65,63,1
80,79,107,17,45,8,74,92,20,68,0
115,79,78,65,61,39,52,92,26,45,1
42,69,92,65,63,8,35,116,56,68,0
42,39,107,82,88,102,79,36,86,75,1
91,39,116,82,75,19,15,36,26,63,0
115,69,92,86,54,8,45,116,82,29,1
103,1,116,65,75,39,52,111,17,25,0
115,15,36,82,75,70,79,92,26,9,1
115,39,92,17,25,8,1,107,65,63,0
59,35,36,26,54,42,39,92,20,33,0
70,19,107,65,75,39,74,116,50,6,1
45,79,116,20,38,70,74,61,26,97,0
19,39,78,50,45,42,8,92,26,61,0
42,15,111,110,75,45,59,92,17,38,0
42,16,92,26,36,70,1,107,65,63,1
39,79,36,82,29,8,25,107,17,54,1
70,69,92,17,75,42,35,107,110,63,1
70,15,92,17,33,39,35,116,20,75,1
39,74,92,50,75,115,69,116,20,63,0
45,25,107,65,54,115,64,116,20,29,1
115,1,116,26,45,39,49,92,17,63,0
19,39,107,17,38,70,79,92,65,97,0
42,3,62,82,63,70,16,107,17,68,0
